Player,Overs,Runs,Wickets,ER,MatchID,Team,Match,Date,Teams
Praveen Kumar,4.0,0,38,0,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Zaheer Khan,4.0,0,38,1,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Ashley Noffke,4.0,0,40,1,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Jacques Kallis,4.0,0,48,1,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Sunil Joshi,3.0,0,26,0,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Cameron White,1.0,0,24,0,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Ashok Dinda,3.0,0,9,2,1,Kolkata Knight Riders,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Ishant Sharma,3.0,0,7,1,1,Kolkata Knight Riders,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Ajit Agarkar,4.0,0,25,3,1,Kolkata Knight Riders,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Sourav Ganguly,4.0,0,21,2,1,Kolkata Knight Riders,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Laxmi Shukla,1.1,0,12,1,1,Kolkata Knight Riders,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Brett Lee,4.0,0,35,1,2,Kings XI Punjab,2,2008-04-19,Punjab Kings v Chennai Super Kings
Sreesanth,3.0,0,35,0,2,Kings XI Punjab,2,2008-04-19,Punjab Kings v Chennai Super Kings
James Hopes,4.0,0,53,1,2,Kings XI Punjab,2,2008-04-19,Punjab Kings v Chennai Super Kings
Irfan Pathan,4.0,0,47,2,2,Kings XI Punjab,2,2008-04-19,Punjab Kings v Chennai Super Kings
Karan Goel,2.0,0,25,0,2,Kings XI Punjab,2,2008-04-19,Punjab Kings v Chennai Super Kings
Piyush Chawla,1.0,0,19,0,2,Kings XI Punjab,2,2008-04-19,Punjab Kings v Chennai Super Kings
Wilkin Mota,2.0,0,24,1,2,Kings XI Punjab,2,2008-04-19,Punjab Kings v Chennai Super Kings
Jacob Oram,4.0,0,37,0,2,Chennai Super Kings,2,2008-04-19,Punjab Kings v Chennai Super Kings
Manpreet Gony,4.0,0,42,1,2,Chennai Super Kings,2,2008-04-19,Punjab Kings v Chennai Super Kings
Muttiah Muralitharan,4.0,0,33,1,2,Chennai Super Kings,2,2008-04-19,Punjab Kings v Chennai Super Kings
Palani Amarnath,4.0,0,42,1,2,Chennai Super Kings,2,2008-04-19,Punjab Kings v Chennai Super Kings
Joginder Sharma,4.0,0,47,1,2,Chennai Super Kings,2,2008-04-19,Punjab Kings v Chennai Super Kings
Glenn McGrath,4.0,1,21,1,3,Delhi Daredevils,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Brett Geeves,4.0,0,41,0,3,Delhi Daredevils,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Farveez Maharoof,4.0,0,11,2,3,Delhi Daredevils,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Rajat Bhatia,4.0,0,17,2,3,Delhi Daredevils,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Daniel Vettori,4.0,0,35,1,3,Delhi Daredevils,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Munaf Patel,3.0,0,25,0,3,Rajasthan Royals,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Shane Watson,4.0,0,31,1,3,Rajasthan Royals,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Siddharth Trivedi,3.0,0,32,0,3,Rajasthan Royals,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Shane Warne,2.0,0,16,0,3,Rajasthan Royals,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Yusuf Pathan,2.1,0,17,0,3,Rajasthan Royals,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Dinesh Salunkhe,1.0,0,11,0,3,Rajasthan Royals,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Ashok Dinda,3.0,0,18,1,4,Kolkata Knight Riders,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Ishant Sharma,3.0,1,9,1,4,Kolkata Knight Riders,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Ajit Agarkar,2.0,0,19,2,4,Kolkata Knight Riders,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Murali Kartik,3.4,0,17,3,4,Kolkata Knight Riders,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Mohammad Hafeez,4.0,0,8,1,4,Kolkata Knight Riders,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
David Hussey,3.0,0,35,1,4,Kolkata Knight Riders,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Chaminda Vaas,3.0,0,9,2,4,Deccan Chargers,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
R P Singh,3.0,0,15,1,4,Deccan Chargers,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Scott Styris,4.0,0,19,0,4,Deccan Chargers,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Sanjay Bangar,3.0,0,19,0,4,Deccan Chargers,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Andrew Symonds,2.0,0,20,0,4,Deccan Chargers,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Pragyan Ojha,4.0,0,18,2,4,Deccan Chargers,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Praveen Kumar,4.0,0,29,1,5,Mumbai Indians,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Zaheer Khan,4.0,0,17,2,5,Mumbai Indians,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Jacques Kallis,3.0,0,43,0,5,Mumbai Indians,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Vinay Kumar,4.0,0,41,0,5,Mumbai Indians,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Balachandra Akhil,3.0,0,17,2,5,Mumbai Indians,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Sunil Joshi,2.0,0,10,0,5,Mumbai Indians,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Ashish Nehra,4.0,0,45,1,5,Royal Challengers Bengaluru,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Shaun Pollock,4.0,0,17,0,5,Royal Challengers Bengaluru,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Dhawal Kulkarni,2.4,0,19,1,5,Royal Challengers Bengaluru,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Sanath Jayasuriya,4.0,0,39,1,5,Royal Challengers Bengaluru,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Harbhajan Singh,4.0,0,36,2,5,Royal Challengers Bengaluru,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Abhishek Nayar,1.0,0,10,0,5,Royal Challengers Bengaluru,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Munaf Patel,4.0,0,36,1,6,Rajasthan Royals,6,2008-04-21,Rajasthan Royals v Punjab Kings
Shane Watson,4.0,0,39,0,6,Rajasthan Royals,6,2008-04-21,Rajasthan Royals v Punjab Kings
Siddharth Trivedi,4.0,0,25,2,6,Rajasthan Royals,6,2008-04-21,Rajasthan Royals v Punjab Kings
Shane Warne,4.0,0,19,3,6,Rajasthan Royals,6,2008-04-21,Rajasthan Royals v Punjab Kings
Dinesh Salunkhe,2.0,0,21,1,6,Rajasthan Royals,6,2008-04-21,Rajasthan Royals v Punjab Kings
Pankaj Singh,1.0,0,12,0,6,Rajasthan Royals,6,2008-04-21,Rajasthan Royals v Punjab Kings
Yusuf Pathan,1.0,0,13,0,6,Rajasthan Royals,6,2008-04-21,Rajasthan Royals v Punjab Kings
Brett Lee,4.0,0,35,1,6,Kings XI Punjab,6,2008-04-21,Rajasthan Royals v Punjab Kings
Sreesanth,3.1,0,38,1,6,Kings XI Punjab,6,2008-04-21,Rajasthan Royals v Punjab Kings
James Hopes,4.0,0,33,1,6,Kings XI Punjab,6,2008-04-21,Rajasthan Royals v Punjab Kings
Irfan Pathan,4.0,0,21,1,6,Kings XI Punjab,6,2008-04-21,Rajasthan Royals v Punjab Kings
Piyush Chawla,2.0,0,27,0,6,Kings XI Punjab,6,2008-04-21,Rajasthan Royals v Punjab Kings
Wilkin Mota,1.0,0,12,0,6,Kings XI Punjab,6,2008-04-21,Rajasthan Royals v Punjab Kings
Glenn McGrath,4.0,1,22,0,7,Deccan Chargers,7,2008-04-22,Deccan Chargers v Delhi Capitals
Mohammad Asif,4.0,0,19,2,7,Deccan Chargers,7,2008-04-22,Deccan Chargers v Delhi Capitals
Farveez Maharoof,4.0,0,36,2,7,Deccan Chargers,7,2008-04-22,Deccan Chargers v Delhi Capitals
Vijaykumar Mahesh,4.0,0,35,1,7,Deccan Chargers,7,2008-04-22,Deccan Chargers v Delhi Capitals
Rajat Bhatia,4.0,0,27,2,7,Deccan Chargers,7,2008-04-22,Deccan Chargers v Delhi Capitals
Chaminda Vaas,3.0,0,22,0,7,Delhi Daredevils,7,2008-04-22,Deccan Chargers v Delhi Capitals
R P Singh,3.0,0,27,1,7,Delhi Daredevils,7,2008-04-22,Deccan Chargers v Delhi Capitals
Sanjay Bangar,2.0,0,30,0,7,Delhi Daredevils,7,2008-04-22,Deccan Chargers v Delhi Capitals
Shahid Afridi,2.0,0,17,0,7,Delhi Daredevils,7,2008-04-22,Deccan Chargers v Delhi Capitals
Andrew Symonds,2.0,0,35,0,7,Delhi Daredevils,7,2008-04-22,Deccan Chargers v Delhi Capitals
Pragyan Ojha,1.0,0,7,0,7,Delhi Daredevils,7,2008-04-22,Deccan Chargers v Delhi Capitals
Shaun Pollock,3.0,0,32,0,8,Chennai Super Kings,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Ashish Nehra,4.0,0,35,1,8,Chennai Super Kings,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Dhawal Kulkarni,3.0,0,25,1,8,Chennai Super Kings,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Harbhajan Singh,2.0,0,14,0,8,Chennai Super Kings,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Dwayne Bravo,3.0,0,36,0,8,Chennai Super Kings,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Vikrant Yeligati,1.0,0,16,0,8,Chennai Super Kings,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Abhishek Nayar,1.0,0,14,0,8,Chennai Super Kings,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Musavir Khote,3.0,0,29,2,8,Chennai Super Kings,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Jacob Oram,4.0,0,53,0,8,Mumbai Indians,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Manpreet Gony,4.0,1,18,1,8,Mumbai Indians,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Muttiah Muralitharan,4.0,0,29,2,8,Mumbai Indians,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Palani Amarnath,4.0,0,57,1,8,Mumbai Indians,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Joginder Sharma,4.0,0,40,2,8,Mumbai Indians,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Munaf Patel,4.0,0,55,0,9,Deccan Chargers,9,2008-04-24,Deccan Chargers v Rajasthan Royals
Shane Watson,4.0,0,32,1,9,Deccan Chargers,9,2008-04-24,Deccan Chargers v Rajasthan Royals
Yusuf Pathan,2.0,0,20,2,9,Deccan Chargers,9,2008-04-24,Deccan Chargers v Rajasthan Royals
Pankaj Singh,2.0,0,14,0,9,Deccan Chargers,9,2008-04-24,Deccan Chargers v Rajasthan Royals
Siddharth Trivedi,3.0,0,37,0,9,Deccan Chargers,9,2008-04-24,Deccan Chargers v Rajasthan Royals
Shane Warne,4.0,0,47,2,9,Deccan Chargers,9,2008-04-24,Deccan Chargers v Rajasthan Royals
Dinesh Salunkhe,1.0,0,9,0,9,Deccan Chargers,9,2008-04-24,Deccan Chargers v Rajasthan Royals
Chaminda Vaas,4.0,0,42,1,9,Rajasthan Royals,9,2008-04-24,Deccan Chargers v Rajasthan Royals
R P Singh,4.0,0,44,1,9,Rajasthan Royals,9,2008-04-24,Deccan Chargers v Rajasthan Royals
Pragyan Ojha,2.0,0,23,0,9,Rajasthan Royals,9,2008-04-24,Deccan Chargers v Rajasthan Royals
Doddapaneni Kalyankrishna,3.0,0,30,1,9,Rajasthan Royals,9,2008-04-24,Deccan Chargers v Rajasthan Royals
Shahid Afridi,4.0,0,28,3,9,Rajasthan Royals,9,2008-04-24,Deccan Chargers v Rajasthan Royals
Andrew Symonds,2.5,0,46,0,9,Rajasthan Royals,9,2008-04-24,Deccan Chargers v Rajasthan Royals
Shaun Pollock,4.0,0,40,1,10,Kings XI Punjab,10,2008-04-25,Punjab Kings v Mumbai Indians
Ashish Nehra,3.0,0,22,2,10,Kings XI Punjab,10,2008-04-25,Punjab Kings v Mumbai Indians
Dhawal Kulkarni,4.0,0,37,2,10,Kings XI Punjab,10,2008-04-25,Punjab Kings v Mumbai Indians
Harbhajan Singh,4.0,0,32,3,10,Kings XI Punjab,10,2008-04-25,Punjab Kings v Mumbai Indians
Dwayne Bravo,3.0,0,27,0,10,Kings XI Punjab,10,2008-04-25,Punjab Kings v Mumbai Indians
Musavir Khote,2.0,0,22,0,10,Kings XI Punjab,10,2008-04-25,Punjab Kings v Mumbai Indians
Brett Lee,4.0,0,9,1,10,Mumbai Indians,10,2008-04-25,Punjab Kings v Mumbai Indians
Irfan Pathan,4.0,1,19,2,10,Mumbai Indians,10,2008-04-25,Punjab Kings v Mumbai Indians
Vikram Singh,4.0,0,40,1,10,Mumbai Indians,10,2008-04-25,Punjab Kings v Mumbai Indians
Sreesanth,4.0,0,31,2,10,Mumbai Indians,10,2008-04-25,Punjab Kings v Mumbai Indians
Piyush Chawla,4.0,0,16,2,10,Mumbai Indians,10,2008-04-25,Punjab Kings v Mumbai Indians
Jacob Oram,4.0,0,32,3,11,Chennai Super Kings,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders
Manpreet Gony,4.0,0,40,2,11,Chennai Super Kings,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders
Palani Amarnath,4.0,0,29,2,11,Chennai Super Kings,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders
Muttiah Muralitharan,4.0,0,12,0,11,Chennai Super Kings,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders
Joginder Sharma,4.0,0,32,1,11,Chennai Super Kings,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders
Ashok Dinda,3.0,0,25,0,11,Kolkata Knight Riders,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders
Ishant Sharma,3.0,0,26,0,11,Kolkata Knight Riders,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders
Ajit Agarkar,3.0,0,19,1,11,Kolkata Knight Riders,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders
David Hussey,1.0,0,10,0,11,Kolkata Knight Riders,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders
Mohammad Hafeez,2.0,0,16,0,11,Kolkata Knight Riders,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders
Murali Kartik,3.0,0,33,0,11,Kolkata Knight Riders,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders
Laxmi Shukla,2.0,0,18,0,11,Kolkata Knight Riders,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders
Shane Watson,4.0,0,20,2,12,Royal Challengers Bengaluru,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Sohail Tanvir,4.0,0,31,0,12,Royal Challengers Bengaluru,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Munaf Patel,3.0,0,20,2,12,Royal Challengers Bengaluru,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Siddharth Trivedi,4.0,0,29,1,12,Royal Challengers Bengaluru,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Shane Warne,4.0,1,23,1,12,Royal Challengers Bengaluru,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Yusuf Pathan,1.0,0,10,0,12,Royal Challengers Bengaluru,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Praveen Kumar,3.0,0,42,1,12,Rajasthan Royals,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Zaheer Khan,4.0,0,24,1,12,Rajasthan Royals,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Vinay Kumar,2.0,0,15,0,12,Rajasthan Royals,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Anil Kumble,4.0,0,22,0,12,Rajasthan Royals,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Jacques Kallis,1.0,0,7,0,12,Rajasthan Royals,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Sunil Joshi,3.1,0,27,1,12,Rajasthan Royals,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Brett Lee,4.0,0,33,1,13,Kings XI Punjab,13,2008-04-27,Punjab Kings v Delhi Capitals
Irfan Pathan,4.0,0,26,2,13,Kings XI Punjab,13,2008-04-27,Punjab Kings v Delhi Capitals
Sreesanth,2.0,0,25,0,13,Kings XI Punjab,13,2008-04-27,Punjab Kings v Delhi Capitals
Vikram Singh,4.0,0,29,3,13,Kings XI Punjab,13,2008-04-27,Punjab Kings v Delhi Capitals
Piyush Chawla,4.0,0,29,0,13,Kings XI Punjab,13,2008-04-27,Punjab Kings v Delhi Capitals
Yuvraj Singh,2.0,0,11,1,13,Kings XI Punjab,13,2008-04-27,Punjab Kings v Delhi Capitals
Glenn McGrath,4.0,0,29,1,13,Delhi Daredevils,13,2008-04-27,Punjab Kings v Delhi Capitals
Mohammad Asif,4.0,0,39,2,13,Delhi Daredevils,13,2008-04-27,Punjab Kings v Delhi Capitals
Farveez Maharoof,3.0,0,31,0,13,Delhi Daredevils,13,2008-04-27,Punjab Kings v Delhi Capitals
Vijaykumar Mahesh,4.0,0,23,1,13,Delhi Daredevils,13,2008-04-27,Punjab Kings v Delhi Capitals
Shoaib Malik,3.3,0,32,1,13,Delhi Daredevils,13,2008-04-27,Punjab Kings v Delhi Capitals
Rajat Bhatia,1.0,0,5,0,13,Delhi Daredevils,13,2008-04-27,Punjab Kings v Delhi Capitals
R P Singh,4.0,1,15,2,14,Mumbai Indians,14,2008-04-27,Mumbai Indians v Deccan Chargers
Nuwan Zoysa,4.0,0,30,1,14,Mumbai Indians,14,2008-04-27,Mumbai Indians v Deccan Chargers
Sanjay Bangar,4.0,0,34,2,14,Mumbai Indians,14,2008-04-27,Mumbai Indians v Deccan Chargers
Shahid Afridi,4.0,0,32,2,14,Mumbai Indians,14,2008-04-27,Mumbai Indians v Deccan Chargers
Pragyan Ojha,2.0,0,14,0,14,Mumbai Indians,14,2008-04-27,Mumbai Indians v Deccan Chargers
Doddapaneni Kalyankrishna,2.0,0,23,0,14,Mumbai Indians,14,2008-04-27,Mumbai Indians v Deccan Chargers
Ashish Nehra,2.0,0,19,0,14,Deccan Chargers,14,2008-04-27,Mumbai Indians v Deccan Chargers
Shaun Pollock,2.0,0,33,0,14,Deccan Chargers,14,2008-04-27,Mumbai Indians v Deccan Chargers
Dhawal Kulkarni,1.0,0,8,0,14,Deccan Chargers,14,2008-04-27,Mumbai Indians v Deccan Chargers
Sanath Jayasuriya,2.0,0,17,0,14,Deccan Chargers,14,2008-04-27,Mumbai Indians v Deccan Chargers
Siddharth Chitnis,2.0,0,20,0,14,Deccan Chargers,14,2008-04-27,Mumbai Indians v Deccan Chargers
Dwayne Bravo,2.0,0,31,0,14,Deccan Chargers,14,2008-04-27,Mumbai Indians v Deccan Chargers
Abhishek Nayar,1.0,0,22,0,14,Deccan Chargers,14,2008-04-27,Mumbai Indians v Deccan Chargers
Dale Steyn,4.0,0,40,0,15,Royal Challengers Bengaluru,15,2008-04-28,Royal Challengers Bengaluru v Chennai Super Kings
Zaheer Khan,4.0,0,38,3,15,Royal Challengers Bengaluru,15,2008-04-28,Royal Challengers Bengaluru v Chennai Super Kings
Praveen Kumar,4.0,0,29,1,15,Royal Challengers Bengaluru,15,2008-04-28,Royal Challengers Bengaluru v Chennai Super Kings
Jacques Kallis,4.0,0,36,0,15,Royal Challengers Bengaluru,15,2008-04-28,Royal Challengers Bengaluru v Chennai Super Kings
Balachandra Akhil,4.0,0,34,0,15,Royal Challengers Bengaluru,15,2008-04-28,Royal Challengers Bengaluru v Chennai Super Kings
Jacob Oram,4.0,0,27,0,15,Chennai Super Kings,15,2008-04-28,Royal Challengers Bengaluru v Chennai Super Kings
Manpreet Gony,4.0,0,34,3,15,Chennai Super Kings,15,2008-04-28,Royal Challengers Bengaluru v Chennai Super Kings
Albie Morkel,4.0,0,38,1,15,Chennai Super Kings,15,2008-04-28,Royal Challengers Bengaluru v Chennai Super Kings
Palani Amarnath,4.0,0,38,2,15,Chennai Super Kings,15,2008-04-28,Royal Challengers Bengaluru v Chennai Super Kings
Joginder Sharma,3.4,0,27,2,15,Chennai Super Kings,15,2008-04-28,Royal Challengers Bengaluru v Chennai Super Kings
Shaun Pollock,4.0,0,27,2,16,Kolkata Knight Riders,16,2008-04-29,Kolkata Knight Riders v Mumbai Indians
Ashish Nehra,1.0,0,9,0,16,Kolkata Knight Riders,16,2008-04-29,Kolkata Knight Riders v Mumbai Indians
Dilhara Fernando,4.0,0,41,1,16,Kolkata Knight Riders,16,2008-04-29,Kolkata Knight Riders v Mumbai Indians
Dhawal Kulkarni,3.0,0,15,0,16,Kolkata Knight Riders,16,2008-04-29,Kolkata Knight Riders v Mumbai Indians
Dwayne Bravo,4.0,0,25,1,16,Kolkata Knight Riders,16,2008-04-29,Kolkata Knight Riders v Mumbai Indians
Sanath Jayasuriya,4.0,1,14,3,16,Kolkata Knight Riders,16,2008-04-29,Kolkata Knight Riders v Mumbai Indians
Ajit Agarkar,4.0,0,23,1,16,Mumbai Indians,16,2008-04-29,Kolkata Knight Riders v Mumbai Indians
Ishant Sharma,3.4,0,33,1,16,Mumbai Indians,16,2008-04-29,Kolkata Knight Riders v Mumbai Indians
Ashok Dinda,4.0,0,12,1,16,Mumbai Indians,16,2008-04-29,Kolkata Knight Riders v Mumbai Indians
Murali Kartik,3.0,0,24,0,16,Mumbai Indians,16,2008-04-29,Kolkata Knight Riders v Mumbai Indians
Mohammad Hafeez,1.0,0,16,0,16,Mumbai Indians,16,2008-04-29,Kolkata Knight Riders v Mumbai Indians
Sourav Ganguly,2.0,0,14,0,16,Mumbai Indians,16,2008-04-29,Kolkata Knight Riders v Mumbai Indians
Laxmi Shukla,1.0,0,11,0,16,Mumbai Indians,16,2008-04-29,Kolkata Knight Riders v Mumbai Indians
Dale Steyn,4.0,0,29,1,17,Delhi Daredevils,17,2008-04-30,Delhi Capitals v Royal Challengers Bengaluru
Zaheer Khan,4.0,0,42,1,17,Delhi Daredevils,17,2008-04-30,Delhi Capitals v Royal Challengers Bengaluru
Praveen Kumar,4.0,0,24,0,17,Delhi Daredevils,17,2008-04-30,Delhi Capitals v Royal Challengers Bengaluru
Vinay Kumar,2.0,0,25,0,17,Delhi Daredevils,17,2008-04-30,Delhi Capitals v Royal Challengers Bengaluru
Jacques Kallis,4.0,0,39,2,17,Delhi Daredevils,17,2008-04-30,Delhi Capitals v Royal Challengers Bengaluru
Virat Kohli,1.0,0,11,0,17,Delhi Daredevils,17,2008-04-30,Delhi Capitals v Royal Challengers Bengaluru
Sunil Joshi,1.0,0,19,0,17,Delhi Daredevils,17,2008-04-30,Delhi Capitals v Royal Challengers Bengaluru
Glenn McGrath,4.0,0,29,4,17,Royal Challengers Bengaluru,17,2008-04-30,Delhi Capitals v Royal Challengers Bengaluru
Mohammad Asif,4.0,0,42,0,17,Royal Challengers Bengaluru,17,2008-04-30,Delhi Capitals v Royal Challengers Bengaluru
Vijaykumar Mahesh,4.0,0,28,0,17,Royal Challengers Bengaluru,17,2008-04-30,Delhi Capitals v Royal Challengers Bengaluru
Daniel Vettori,4.0,0,19,1,17,Royal Challengers Bengaluru,17,2008-04-30,Delhi Capitals v Royal Challengers Bengaluru
Rajat Bhatia,1.0,0,14,0,17,Royal Challengers Bengaluru,17,2008-04-30,Delhi Capitals v Royal Challengers Bengaluru
Shoaib Malik,1.0,0,8,0,17,Royal Challengers Bengaluru,17,2008-04-30,Delhi Capitals v Royal Challengers Bengaluru
Virender Sehwag,2.0,0,30,0,17,Royal Challengers Bengaluru,17,2008-04-30,Delhi Capitals v Royal Challengers Bengaluru
Ashok Dinda,4.0,0,30,0,18,Rajasthan Royals,18,2008-05-01,Rajasthan Royals v Kolkata Knight Riders
Ishant Sharma,4.0,0,26,1,18,Rajasthan Royals,18,2008-05-01,Rajasthan Royals v Kolkata Knight Riders
Ajit Agarkar,4.0,0,46,1,18,Rajasthan Royals,18,2008-05-01,Rajasthan Royals v Kolkata Knight Riders
Umar Gul,4.0,0,31,3,18,Rajasthan Royals,18,2008-05-01,Rajasthan Royals v Kolkata Knight Riders
David Hussey,2.0,0,26,0,18,Rajasthan Royals,18,2008-05-01,Rajasthan Royals v Kolkata Knight Riders
Sourav Ganguly,1.0,0,14,0,18,Rajasthan Royals,18,2008-05-01,Rajasthan Royals v Kolkata Knight Riders
Laxmi Shukla,1.0,0,16,1,18,Rajasthan Royals,18,2008-05-01,Rajasthan Royals v Kolkata Knight Riders
Shane Watson,3.1,0,22,2,18,Kolkata Knight Riders,18,2008-05-01,Rajasthan Royals v Kolkata Knight Riders
Sohail Tanvir,4.0,0,30,2,18,Kolkata Knight Riders,18,2008-05-01,Rajasthan Royals v Kolkata Knight Riders
Siddharth Trivedi,4.0,0,31,2,18,Kolkata Knight Riders,18,2008-05-01,Rajasthan Royals v Kolkata Knight Riders
Munaf Patel,4.0,0,29,0,18,Kolkata Knight Riders,18,2008-05-01,Rajasthan Royals v Kolkata Knight Riders
Shane Warne,2.0,0,20,1,18,Kolkata Knight Riders,18,2008-05-01,Rajasthan Royals v Kolkata Knight Riders
Yusuf Pathan,2.0,0,14,0,18,Kolkata Knight Riders,18,2008-05-01,Rajasthan Royals v Kolkata Knight Riders
Sreesanth,4.0,0,33,1,19,Deccan Chargers,19,2008-05-01,Deccan Chargers v Punjab Kings
Irfan Pathan,4.0,0,30,2,19,Deccan Chargers,19,2008-05-01,Deccan Chargers v Punjab Kings
Vikram Singh,4.0,0,34,0,19,Deccan Chargers,19,2008-05-01,Deccan Chargers v Punjab Kings
Piyush Chawla,4.0,0,28,3,19,Deccan Chargers,19,2008-05-01,Deccan Chargers v Punjab Kings
Gagandeep Singh,4.0,0,37,1,19,Deccan Chargers,19,2008-05-01,Deccan Chargers v Punjab Kings
R P Singh,3.5,0,36,0,19,Kings XI Punjab,19,2008-05-01,Deccan Chargers v Punjab Kings
Nuwan Zoysa,4.0,0,32,1,19,Kings XI Punjab,19,2008-05-01,Deccan Chargers v Punjab Kings
Shahid Afridi,3.0,0,28,0,19,Kings XI Punjab,19,2008-05-01,Deccan Chargers v Punjab Kings
Sanjay Bangar,4.0,0,26,0,19,Kings XI Punjab,19,2008-05-01,Deccan Chargers v Punjab Kings
Doddapaneni Kalyankrishna,3.0,0,34,1,19,Kings XI Punjab,19,2008-05-01,Deccan Chargers v Punjab Kings
