Player,Runs,Balls,4s,6s,SR,Dismissal,Wicket_Taker,MatchID,Team,Match,Date,Teams
Sourav Ganguly,10,12,2,0,83.33,Catch Out,Khan,1,Kolkata Knight Riders,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Brendon McCullum,158,73,10,13,216.44,Not out,Not applicable,1,Kolkata Knight Riders,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Ricky Ponting,20,20,1,1,100.00,Catch Out,Kallis,1,Kolkata Knight Riders,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
David Hussey,12,12,1,0,100.00,Catch Out,Noffke,1,Kolkata Knight Riders,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Mohammad Hafeez,5,3,1,0,166.67,Not out,Not applicable,1,Kolkata Knight Riders,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Rahul Dravid,2,3,0,0,66.67,Bowled,Sharma,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Wasim Jaffer,6,16,0,0,37.50,Catch Out,Dinda,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Virat Kohli,1,5,0,0,20.00,Bowled,Dinda,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Jacques Kallis,8,7,0,1,114.29,Catch Out,Agarkar,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Cameron White,6,10,0,0,60.00,Catch Out,Agarkar,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Mark Boucher,7,9,1,0,77.78,Catch Out,Ganguly,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Balachandra Akhil,0,2,0,0,0.00,Catch Out,Agarkar,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Ashley Noffke,9,10,1,0,90.00,Run out,Not applicable,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Praveen Kumar,18,15,1,2,120.00,Not out,Not applicable,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Zaheer Khan,3,8,0,0,37.50,Bowled,Ganguly,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Sunil Joshi,3,6,0,0,50.00,Catch Out,Shukla,1,Royal Challengers Bengaluru,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders
Parthiv Patel,15,10,3,0,150.00,Catch Out,Lee,2,Chennai Super Kings,2,2008-04-19,Punjab Kings v Chennai Super Kings
Matthew Hayden,25,17,4,1,147.06,Bowled,Pathan,2,Chennai Super Kings,2,2008-04-19,Punjab Kings v Chennai Super Kings
Michael Hussey,116,54,8,9,214.81,Not out,Not applicable,2,Chennai Super Kings,2,2008-04-19,Punjab Kings v Chennai Super Kings
M S Dhoni,2,3,0,0,66.67,LBW,Hopes,2,Chennai Super Kings,2,2008-04-19,Punjab Kings v Chennai Super Kings
Suresh Raina,32,13,2,3,246.15,Catch Out,Mota,2,Chennai Super Kings,2,2008-04-19,Punjab Kings v Chennai Super Kings
Jacob Oram,13,10,0,1,130.00,Bowled,Pathan,2,Chennai Super Kings,2,2008-04-19,Punjab Kings v Chennai Super Kings
Subramaniam Badrinath,31,14,3,2,221.43,Not out,Not applicable,2,Chennai Super Kings,2,2008-04-19,Punjab Kings v Chennai Super Kings
Karan Goel,24,19,2,1,126.32,Catch Out,Gony,2,Kings XI Punjab,2,2008-04-19,Punjab Kings v Chennai Super Kings
James Hopes,71,33,10,3,215.15,Catch Out,Amarnath,2,Kings XI Punjab,2,2008-04-19,Punjab Kings v Chennai Super Kings
Kumar Sangakkara,54,33,5,2,163.64,Catch Out,Muralitharan,2,Kings XI Punjab,2,2008-04-19,Punjab Kings v Chennai Super Kings
Yuvraj Singh,23,13,1,2,176.92,Catch Out,Joginder Sharma,2,Kings XI Punjab,2,2008-04-19,Punjab Kings v Chennai Super Kings
Simon Katich,21,17,0,1,123.53,Not out,Not applicable,2,Kings XI Punjab,2,2008-04-19,Punjab Kings v Chennai Super Kings
Irfan Pathan,3,5,0,0,60.00,Not out,Not applicable,2,Kings XI Punjab,2,2008-04-19,Punjab Kings v Chennai Super Kings
Taruwar Kohli,7,12,0,1,58.33,Catch Out,McGrath,3,Rajasthan Royals,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Yusuf Pathan,10,5,2,0,200.00,Run out,Not applicable,3,Rajasthan Royals,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Shane Watson,21,15,2,0,140.00,Run out,Not applicable,3,Rajasthan Royals,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Mohammad Kaif,9,19,0,0,47.37,Catch Out,Bhatia,3,Rajasthan Royals,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Darren Lehmann,1,2,0,0,50.00,LBW,Maharoof,3,Rajasthan Royals,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Ravindra Jadeja,29,23,2,2,126.09,Bowled,Vettori,3,Rajasthan Royals,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Mahesh Rawat,2,4,0,0,50.00,Bowled,Bhatia,3,Rajasthan Royals,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Dinesh Salunkhe,26,20,4,0,130.00,Not out,Not applicable,3,Rajasthan Royals,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Shane Warne,14,13,2,0,107.69,Bowled,Maharoof,3,Rajasthan Royals,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Siddharth Trivedi,3,7,0,0,42.86,Not out,Not applicable,3,Rajasthan Royals,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Gautam Gambhir,58,46,7,1,126.09,Not out,Not applicable,3,Delhi Daredevils,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Virender Sehwag,12,4,3,0,300.00,Bowled,Watson,3,Delhi Daredevils,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Shikhar Dhawan,52,41,8,0,126.83,Not out,Not applicable,3,Delhi Daredevils,3,2008-04-19,Delhi Capitals v Rajasthan Royals
Adam Gilchrist,23,22,1,2,104.55,Catch Out,Kartik,4,Deccan Chargers,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Yalaka Venugopal Rao,14,14,1,0,100.00,Catch Out,Sharma,4,Deccan Chargers,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
V V S Laxman,0,6,0,0,0.00,Catch Out,Dinda,4,Deccan Chargers,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Andrew Symonds,32,39,2,2,82.05,Catch Out,Agarkar,4,Deccan Chargers,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Rohit Sharma,0,3,0,0,0.00,Catch Out,Kartik,4,Deccan Chargers,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Scott Styris,6,7,1,0,85.71,Bowled,Mohammad Hafeez,4,Deccan Chargers,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Arjun Yadav,10,10,0,1,100.00,Catch Out,Hussey,4,Deccan Chargers,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Sanjay Bangar,14,10,1,1,140.00,Catch Out,Kartik,4,Deccan Chargers,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Chaminda Vaas,0,1,0,0,0.00,Catch Out,Agarkar,4,Deccan Chargers,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
R P Singh,1,2,0,0,50.00,Not out,Not applicable,4,Deccan Chargers,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Pragyan Ojha,0,0,0,0,0.00,Run out,Not applicable,4,Deccan Chargers,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Wriddhiman Saha,10,17,1,0,58.82,Catch Out,Vaas,4,Kolkata Knight Riders,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Brendon McCullum,5,5,1,0,100.00,Catch Out,Singh,4,Kolkata Knight Riders,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Ricky Ponting,0,1,0,0,0.00,LBW,Vaas,4,Kolkata Knight Riders,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Sourav Ganguly,14,30,1,0,46.67,Bowled,Ojha,4,Kolkata Knight Riders,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
David Hussey,38,43,1,3,88.37,Not out,Not applicable,4,Kolkata Knight Riders,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Mohammad Hafeez,13,13,1,1,100.00,Catch Out,Ojha,4,Kolkata Knight Riders,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Laxmi Shukla,4,6,0,0,66.67,Not out,Not applicable,4,Kolkata Knight Riders,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers
Luke Ronchi,8,10,2,0,80.00,Catch Out,Khan,5,Royal Challengers Bengaluru,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Sanath Jayasuriya,29,16,5,1,181.25,Run out,Not applicable,5,Royal Challengers Bengaluru,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Dominic Thornely,0,5,0,0,0.00,Not out,Not applicable,5,Royal Challengers Bengaluru,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Robin Uthappa,48,38,5,1,126.32,Catch Out,Akhil,5,Royal Challengers Bengaluru,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Pinal Shah,19,23,2,0,82.61,Catch Out,Akhil,5,Royal Challengers Bengaluru,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Abhishek Nayar,20,14,1,1,142.86,Catch Out,Kumar,5,Royal Challengers Bengaluru,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Shaun Pollock,28,12,3,2,233.33,Bowled,Khan,5,Royal Challengers Bengaluru,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Harbhajan Singh,2,2,0,0,100.00,Not out,Not applicable,5,Royal Challengers Bengaluru,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Shivnarine Chanderpaul,16,11,3,0,145.45,Catch Out,Kulkarni,5,Mumbai Indians,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Rahul Dravid,32,33,4,0,96.97,Caught  Bowled,Har,5,Mumbai Indians,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Ross Taylor,23,12,1,2,191.67,Catch Out,Jayasuriya,5,Mumbai Indians,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Jacques Kallis,25,24,0,1,104.17,Catch Out,Har,5,Mumbai Indians,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Virat Kohli,23,14,3,1,164.29,Catch Out,Nehra,5,Mumbai Indians,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Mark Boucher,39,19,4,2,205.26,Not out,Not applicable,5,Mumbai Indians,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Balachandra Akhil,3,5,0,0,60.00,Not out,Not applicable,5,Mumbai Indians,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru
Karan Goel,26,21,3,2,123.81,Bowled,Patel,6,Kings XI Punjab,6,2008-04-21,Rajasthan Royals v Punjab Kings
James Hopes,16,16,2,0,100.00,LBW,Warne,6,Kings XI Punjab,6,2008-04-21,Rajasthan Royals v Punjab Kings
Kumar Sangakkara,20,8,3,1,250.00,Caught  Bowled,Warne,6,Kings XI Punjab,6,2008-04-21,Rajasthan Royals v Punjab Kings
Mahela Jayawardene,2,4,0,0,50.00,Stumped Out,Salunkhe,6,Kings XI Punjab,6,2008-04-21,Rajasthan Royals v Punjab Kings
Yuvraj Singh,57,34,6,3,167.65,LBW,Warne,6,Kings XI Punjab,6,2008-04-21,Rajasthan Royals v Punjab Kings
Irfan Pathan,12,19,0,1,63.16,Bowled,Trivedi,6,Kings XI Punjab,6,2008-04-21,Rajasthan Royals v Punjab Kings
Sunny Sohal,4,4,0,0,100.00,Run out,Not applicable,6,Kings XI Punjab,6,2008-04-21,Rajasthan Royals v Punjab Kings
Brett Lee,0,2,0,0,0.00,Catch Out,Trivedi,6,Kings XI Punjab,6,2008-04-21,Rajasthan Royals v Punjab Kings
Piyush Chawla,24,11,4,0,218.18,Not out,Not applicable,6,Kings XI Punjab,6,2008-04-21,Rajasthan Royals v Punjab Kings
Wilkin Mota,1,1,0,0,100.00,Not out,Not applicable,6,Kings XI Punjab,6,2008-04-21,Rajasthan Royals v Punjab Kings
Mohammad Kaif,5,8,1,0,62.50,Catch Out,Sreesanth,6,Rajasthan Royals,6,2008-04-21,Rajasthan Royals v Punjab Kings
Kamran Akmal,15,10,2,1,150.00,Catch Out,Hopes,6,Rajasthan Royals,6,2008-04-21,Rajasthan Royals v Punjab Kings
Yusuf Pathan,7,5,1,0,140.00,Caught  Bowled,Lee,6,Rajasthan Royals,6,2008-04-21,Rajasthan Royals v Punjab Kings
Shane Watson,76,49,5,5,155.10,Not out,Not applicable,6,Rajasthan Royals,6,2008-04-21,Rajasthan Royals v Punjab Kings
Darren Lehmann,17,16,3,0,106.25,LBW,Pathan,6,Rajasthan Royals,6,2008-04-21,Rajasthan Royals v Punjab Kings
Ravindra Jadeja,36,25,5,1,144.00,Not out,Not applicable,6,Rajasthan Royals,6,2008-04-21,Rajasthan Royals v Punjab Kings
Adam Gilchrist,8,9,0,1,88.89,Bowled,Mohammad Asif,7,Delhi Daredevils,7,2008-04-22,Deccan Chargers v Delhi Capitals
Yalaka Venugopal Rao,14,22,2,0,63.64,Catch Out,Maharoof,7,Delhi Daredevils,7,2008-04-22,Deccan Chargers v Delhi Capitals
V V S Laxman,2,6,0,0,33.33,Bowled,Mohammad Asif,7,Delhi Daredevils,7,2008-04-22,Deccan Chargers v Delhi Capitals
Andrew Symonds,12,13,2,0,92.31,Catch Out,Maharoof,7,Delhi Daredevils,7,2008-04-22,Deccan Chargers v Delhi Capitals
Rohit Sharma,66,36,6,4,183.33,Catch Out,Bhatia,7,Delhi Daredevils,7,2008-04-22,Deccan Chargers v Delhi Capitals
Shahid Afridi,2,7,0,0,28.57,LBW,Bhatia,7,Delhi Daredevils,7,2008-04-22,Deccan Chargers v Delhi Capitals
Sanjay Bangar,8,14,0,0,57.14,Run out,Not applicable,7,Delhi Daredevils,7,2008-04-22,Deccan Chargers v Delhi Capitals
Arjun Yadav,12,7,2,0,171.43,Catch Out,hir,7,Delhi Daredevils,7,2008-04-22,Deccan Chargers v Delhi Capitals
Chaminda Vaas,12,6,0,1,200.00,Not out,Not applicable,7,Delhi Daredevils,7,2008-04-22,Deccan Chargers v Delhi Capitals
R P Singh,1,1,0,0,100.00,Not out,Not applicable,7,Delhi Daredevils,7,2008-04-22,Deccan Chargers v Delhi Capitals
Gautam Gambhir,12,9,2,0,133.33,Catch Out,Singh,7,Deccan Chargers,7,2008-04-22,Deccan Chargers v Delhi Capitals
Virender Sehwag,94,41,10,6,229.27,Not out,Not applicable,7,Deccan Chargers,7,2008-04-22,Deccan Chargers v Delhi Capitals
Shikhar Dhawan,25,28,3,0,89.29,Not out,Not applicable,7,Deccan Chargers,7,2008-04-22,Deccan Chargers v Delhi Capitals
Parthiv Patel,14,11,3,0,127.27,Catch Out,Nehra,8,Mumbai Indians,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Matthew Hayden,81,46,12,2,176.09,Run out,Not applicable,8,Mumbai Indians,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Michael Hussey,5,9,1,0,55.56,Bowled,Kulkarni,8,Mumbai Indians,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Suresh Raina,53,37,3,3,143.24,Catch Out,Khote,8,Mumbai Indians,8,2008-04-23,Chennai Super Kings v Mumbai Indians
M S Dhoni,30,16,4,1,187.50,Catch Out,Khote,8,Mumbai Indians,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Jacob Oram,5,2,1,0,250.00,Not out,Not applicable,8,Mumbai Indians,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Subramaniam Badrinath,2,1,0,0,200.00,Not out,Not applicable,8,Mumbai Indians,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Luke Ronchi,2,3,0,0,66.67,Run out,Not applicable,8,Chennai Super Kings,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Sanath Jayasuriya,20,11,4,0,181.82,Catch Out,Gony,8,Chennai Super Kings,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Robin Uthappa,43,36,6,1,119.44,Bowled,Joginder Sharma,8,Chennai Super Kings,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Shaun Pollock,17,15,0,1,113.33,Bowled,Amarnath,8,Chennai Super Kings,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Dwayne Bravo,24,16,2,1,150.00,Catch Out,Joginder Sharma,8,Chennai Super Kings,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Abhishek Nayar,45,20,6,1,225.00,Not out,Not applicable,8,Chennai Super Kings,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Musavir Khote,9,5,0,1,180.00,Catch Out,Muralitharan,8,Chennai Super Kings,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Harbhajan Singh,28,14,1,3,200.00,Catch Out,Muralitharan,8,Chennai Super Kings,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Ashish Nehra,1,2,0,0,50.00,Not out,Not applicable,8,Chennai Super Kings,8,2008-04-23,Chennai Super Kings v Mumbai Indians
Adam Gilchrist,13,9,3,0,144.44,Stumped Out,Pathan,9,Rajasthan Royals,9,2008-04-24,Deccan Chargers v Rajasthan Royals
V V S Laxman,16,16,3,0,100.00,Caught  Bowled,Warne,9,Rajasthan Royals,9,2008-04-24,Deccan Chargers v Rajasthan Royals
Shahid Afridi,10,4,1,0,250.00,Catch Out,Pathan,9,Rajasthan Royals,9,2008-04-24,Deccan Chargers v Rajasthan Royals
Andrew Symonds,117,53,11,7,220.75,Not out,Not applicable,9,Rajasthan Royals,9,2008-04-24,Deccan Chargers v Rajasthan Royals
Rohit Sharma,36,30,3,1,120.00,Catch Out,Warne,9,Rajasthan Royals,9,2008-04-24,Deccan Chargers v Rajasthan Royals
Arjun Yadav,16,9,3,0,177.78,Catch Out,Watson,9,Rajasthan Royals,9,2008-04-24,Deccan Chargers v Rajasthan Royals
Kamran Akmal,12,9,1,1,133.33,Catch Out,Vaas,9,Deccan Chargers,9,2008-04-24,Deccan Chargers v Rajasthan Royals
Graeme Smith,71,45,9,2,157.78,Catch Out,Shahid Afridi,9,Deccan Chargers,9,2008-04-24,Deccan Chargers v Rajasthan Royals
Yusuf Pathan,61,28,4,6,217.86,Catch Out,Kalyankrishna,9,Deccan Chargers,9,2008-04-24,Deccan Chargers v Rajasthan Royals
Shane Watson,4,6,0,0,66.67,Bowled,Shahid Afridi,9,Deccan Chargers,9,2008-04-24,Deccan Chargers v Rajasthan Royals
Mohammad Kaif,34,16,2,3,212.50,Catch Out,Shahid Afridi,9,Deccan Chargers,9,2008-04-24,Deccan Chargers v Rajasthan Royals
Ravindra Jadeja,1,3,0,0,33.33,Bowled,Singh,9,Deccan Chargers,9,2008-04-24,Deccan Chargers v Rajasthan Royals
Shane Warne,22,9,2,2,244.44,Not out,Not applicable,9,Deccan Chargers,9,2008-04-24,Deccan Chargers v Rajasthan Royals
Dinesh Salunkhe,1,1,0,0,100.00,Run out,Not applicable,9,Deccan Chargers,9,2008-04-24,Deccan Chargers v Rajasthan Royals
Pankaj Singh,4,3,0,0,133.33,Not out,Not applicable,9,Deccan Chargers,9,2008-04-24,Deccan Chargers v Rajasthan Royals
Karan Goel,18,21,1,1,85.71,Run out,Not applicable,10,Mumbai Indians,10,2008-04-25,Punjab Kings v Mumbai Indians
Irfan Pathan,6,3,0,0,200.00,Catch Out,Nehra,10,Mumbai Indians,10,2008-04-25,Punjab Kings v Mumbai Indians
Kumar Sangakkara,94,56,13,1,167.86,Catch Out,Har,10,Mumbai Indians,10,2008-04-25,Punjab Kings v Mumbai Indians
Yuvraj Singh,18,9,1,1,200.00,Catch Out,Pollock,10,Mumbai Indians,10,2008-04-25,Punjab Kings v Mumbai Indians
Ramnaresh Sarwan,7,9,0,0,77.78,Catch Out,hajan Singh,10,Mumbai Indians,10,2008-04-25,Punjab Kings v Mumbai Indians
Mahela Jayawardene,12,7,0,1,171.43,Catch Out,Not applicable,10,Mumbai Indians,10,2008-04-25,Punjab Kings v Mumbai Indians
Sunny Sohal,0,4,0,0,0.00,Catch Out,Kulkarni,10,Mumbai Indians,10,2008-04-25,Punjab Kings v Mumbai Indians
Brett Lee,16,8,2,1,200.00,Not out,Not applicable,10,Mumbai Indians,10,2008-04-25,Punjab Kings v Mumbai Indians
Piyush Chawla,0,1,0,0,0.00,LBW,Har,10,Mumbai Indians,10,2008-04-25,Punjab Kings v Mumbai Indians
Sreesanth,0,1,0,0,0.00,Catch Out,Kulkarni,10,Mumbai Indians,10,2008-04-25,Punjab Kings v Mumbai Indians
Vikram Singh,4,2,1,0,200.00,Run out,Not applicable,10,Mumbai Indians,10,2008-04-25,Punjab Kings v Mumbai Indians
Luke Ronchi,11,8,1,1,137.50,Run out,Not applicable,10,Kings XI Punjab,10,2008-04-25,Punjab Kings v Mumbai Indians
Sanath Jayasuriya,1,7,0,0,14.29,Caught  Bowled,Lee,10,Kings XI Punjab,10,2008-04-25,Punjab Kings v Mumbai Indians
Robin Uthappa,21,18,2,1,116.67,Catch Out,Singh,10,Kings XI Punjab,10,2008-04-25,Punjab Kings v Mumbai Indians
Dwayne Bravo,23,21,4,0,109.52,Bowled,Chawla,10,Kings XI Punjab,10,2008-04-25,Punjab Kings v Mumbai Indians
Saurabh Tiwary,17,10,2,1,170.00,Bowled,Chawla,10,Kings XI Punjab,10,2008-04-25,Punjab Kings v Mumbai Indians
Shaun Pollock,22,21,2,1,104.76,Catch Out,Sreesanth,10,Kings XI Punjab,10,2008-04-25,Punjab Kings v Mumbai Indians
Abhishek Nayar,2,3,0,0,66.67,Catch Out,Pathan,10,Kings XI Punjab,10,2008-04-25,Punjab Kings v Mumbai Indians
Harbhajan Singh,0,1,0,0,0.00,LBW,Pathan,10,Kings XI Punjab,10,2008-04-25,Punjab Kings v Mumbai Indians
Musavir Khote,8,7,1,0,114.29,Catch Out,Sreesanth,10,Kings XI Punjab,10,2008-04-25,Punjab Kings v Mumbai Indians
Dhawal Kulkarni,2,16,0,0,12.50,Not out,Not applicable,10,Kings XI Punjab,10,2008-04-25,Punjab Kings v Mumbai Indians
Ashish Nehra,2,10,0,0,20.00,Not out,Not applicable,10,Kings XI Punjab,10,2008-04-25,Punjab Kings v Mumbai Indians
Sourav Ganguly,12,19,1,0,63.16,Catch Out,Joginder Sharma,11,Kolkata Knight Riders,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders
Brendon McCullum,24,12,2,2,200.00,Catch Out,Oram,11,Kolkata Knight Riders,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders
Ricky Ponting,0,1,0,0,0.00,Catch Out,Oram,11,Kolkata Knight Riders,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders
Wriddhiman Saha,27,16,5,1,168.75,Bowled,Gony,11,Kolkata Knight Riders,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders
David Hussey,0,2,0,0,0.00,Catch Out,Amarnath,11,Kolkata Knight Riders,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders
Mohammad Hafeez,16,24,1,0,66.67,Catch Out,Amarnath,11,Kolkata Knight Riders,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders
Laxmi Shukla,42,33,4,1,127.27,Run out,Not applicable,11,Kolkata Knight Riders,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders
Ajit Agarkar,11,9,1,0,122.22,Catch Out,Gony,11,Kolkata Knight Riders,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders
Murali Kartik,3,3,0,0,100.00,Caught  Bowled,Oram,11,Kolkata Knight Riders,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders
Ishant Sharma,4,3,0,0,133.33,Not out,Not applicable,11,Kolkata Knight Riders,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders
Ashok Dinda,0,0,0,0,0.00,Not out,Not applicable,11,Kolkata Knight Riders,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders
Parthiv Patel,21,27,3,0,77.78,Catch Out,Agarkar,11,Chennai Super Kings,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders
Matthew Hayden,70,49,6,3,142.86,Not out,Not applicable,11,Chennai Super Kings,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders
M S Dhoni,43,27,3,2,159.26,Not out,Not applicable,11,Chennai Super Kings,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders
Shivnarine Chanderpaul,2,9,0,0,22.22,Catch Out,Watson,12,Rajasthan Royals,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Rahul Dravid,0,1,0,0,0.00,Catch Out,Watson,12,Rajasthan Royals,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Ross Taylor,44,20,6,3,220.00,Catch Out,Patel,12,Rajasthan Royals,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Jacques Kallis,11,10,2,0,110.00,Catch Out,Trivedi,12,Rajasthan Royals,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Virat Kohli,13,14,0,1,92.86,Catch Out,Patel,12,Rajasthan Royals,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Mark Boucher,4,10,0,0,40.00,Catch Out,Warne,12,Rajasthan Royals,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Praveen Kumar,34,30,2,3,113.33,Run out,Not applicable,12,Rajasthan Royals,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Sunil Joshi,3,8,0,0,37.50,Run out,Not applicable,12,Rajasthan Royals,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Zaheer Khan,17,18,2,0,94.44,Not out,Not applicable,12,Rajasthan Royals,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Vinay Kumar,1,1,0,0,100.00,Not out,Not applicable,12,Rajasthan Royals,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Graeme Smith,49,42,8,0,116.67,Catch Out,le,12,Royal Challengers Bengaluru,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Mahesh Rawat,0,2,0,0,0.00,Catch Out,Kumar,12,Royal Challengers Bengaluru,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Yusuf Pathan,21,12,5,0,175.00,Catch Out,Khan,12,Royal Challengers Bengaluru,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Shane Watson,61,41,8,2,148.78,Not out,Not applicable,12,Royal Challengers Bengaluru,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Mohammad Kaif,4,6,1,0,66.67,Not out,Not applicable,12,Royal Challengers Bengaluru,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals
Gautam Gambhir,18,14,3,0,128.57,Catch Out,Singh,13,Delhi Daredevils,13,2008-04-27,Punjab Kings v Delhi Capitals
Virender Sehwag,6,6,1,0,100.00,LBW,Pathan,13,Delhi Daredevils,13,2008-04-27,Punjab Kings v Delhi Capitals
Shikhar Dhawan,0,3,0,0,0.00,Catch Out,Lee,13,Delhi Daredevils,13,2008-04-27,Punjab Kings v Delhi Capitals
