ID,Match,Date,Teams,Ground,Result,Scorecard,Season,Winner,Margin,Day_of_Week,Month,Year,Team1,Team2
1,1,2008-04-18,Royal Challengers Bengaluru v Kolkata Knight Riders,"Bengaluru, Bangalore",Kolkata Knight Riders won by 140 Runs,MatchScorecard.asp?MatchCode=0001,2008.0,Kolkata Knight Riders,140 Runs,Friday,April,2008,Royal Challengers Bengaluru,Kolkata Knight Riders
2,2,2008-04-19,Punjab Kings v Chennai Super Kings,"Mohali, Chandigarh",Chennai Super Kings won by 33 Runs,MatchScorecard.asp?MatchCode=0002,2008.0,Chennai Super Kings,33 Runs,Saturday,April,2008,Punjab Kings,Chennai Super Kings
3,3,2008-04-19,Delhi Capitals v Rajasthan Royals,Delhi,Delhi Capitals won by 9 Wickets,MatchScorecard.asp?MatchCode=0003,2008.0,Delhi Capitals,9 Wickets,Saturday,April,2008,Delhi Capitals,Rajasthan Royals
4,4,2008-04-20,Kolkata Knight Riders v Deccan Chargers,Kolkata,Kolkata Knight Riders won by 5 Wickets,MatchScorecard.asp?MatchCode=0004,2008.0,Kolkata Knight Riders,5 Wickets,Sunday,April,2008,Kolkata Knight Riders,Deccan Chargers
5,5,2008-04-20,Mumbai Indians v Royal Challengers Bengaluru,Mumbai,Royal Challengers Bengaluru won by 5 Wickets,MatchScorecard.asp?MatchCode=0005,2008.0,Royal Challengers Bengaluru,5 Wickets,Sunday,April,2008,Mumbai Indians,Royal Challengers Bengaluru
6,6,2008-04-21,Rajasthan Royals v Punjab Kings,Jaipur,Rajasthan Royals won by 6 Wickets,MatchScorecard.asp?MatchCode=0006,2008.0,Rajasthan Royals,6 Wickets,Monday,April,2008,Rajasthan Royals,Punjab Kings
7,7,2008-04-22,Deccan Chargers v Delhi Capitals,Hyderabad,Delhi Capitals won by 9 Wickets,MatchScorecard.asp?MatchCode=0007,2008.0,Delhi Capitals,9 Wickets,Tuesday,April,2008,Deccan Chargers,Delhi Capitals
8,8,2008-04-23,Chennai Super Kings v Mumbai Indians,Chennai,Chennai Super Kings won by 6 Runs,MatchScorecard.asp?MatchCode=0008,2008.0,Chennai Super Kings,6 Runs,Wednesday,April,2008,Chennai Super Kings,Mumbai Indians
9,9,2008-04-24,Deccan Chargers v Rajasthan Royals,Hyderabad,Rajasthan Royals won by 3 Wickets,MatchScorecard.asp?MatchCode=0009,2008.0,Rajasthan Royals,3 Wickets,Thursday,April,2008,Deccan Chargers,Rajasthan Royals
10,10,2008-04-25,Punjab Kings v Mumbai Indians,"Mohali, Chandigarh",Punjab Kings won by 66 Runs,MatchScorecard.asp?MatchCode=0010,2008.0,Punjab Kings,66 Runs,Friday,April,2008,Punjab Kings,Mumbai Indians
11,11,2008-04-26,Chennai Super Kings v Kolkata Knight Riders,Chennai,Chennai Super Kings won by 9 Wickets,MatchScorecard.asp?MatchCode=0011,2008.0,Chennai Super Kings,9 Wickets,Saturday,April,2008,Chennai Super Kings,Kolkata Knight Riders
12,12,2008-04-26,Royal Challengers Bengaluru v Rajasthan Royals,"Bengaluru, Bangalore",Rajasthan Royals won by 7 Wickets,MatchScorecard.asp?MatchCode=0012,2008.0,Rajasthan Royals,7 Wickets,Saturday,April,2008,Royal Challengers Bengaluru,Rajasthan Royals
13,13,2008-04-27,Punjab Kings v Delhi Capitals,"Mohali, Chandigarh",Punjab Kings won by 4 Wickets,MatchScorecard.asp?MatchCode=0013,2008.0,Punjab Kings,4 Wickets,Sunday,April,2008,Punjab Kings,Delhi Capitals
14,14,2008-04-27,Mumbai Indians v Deccan Chargers,Mumbai,Deccan Chargers won by 10 Wickets,MatchScorecard.asp?MatchCode=0014,2008.0,Deccan Chargers,10 Wickets,Sunday,April,2008,Mumbai Indians,Deccan Chargers
15,15,2008-04-28,Royal Challengers Bengaluru v Chennai Super Kings,"Bengaluru, Bangalore",Chennai Super Kings won by 13 Runs,MatchScorecard.asp?MatchCode=0015,2008.0,Chennai Super Kings,13 Runs,Monday,April,2008,Royal Challengers Bengaluru,Chennai Super Kings
16,16,2008-04-29,Kolkata Knight Riders v Mumbai Indians,Kolkata,Mumbai Indians won by 7 Wickets,MatchScorecard.asp?MatchCode=0016,2008.0,Mumbai Indians,7 Wickets,Tuesday,April,2008,Kolkata Knight Riders,Mumbai Indians
17,17,2008-04-30,Delhi Capitals v Royal Challengers Bengaluru,Delhi,Delhi Capitals won by 10 Runs,MatchScorecard.asp?MatchCode=0017,2008.0,Delhi Capitals,10 Runs,Wednesday,April,2008,Delhi Capitals,Royal Challengers Bengaluru
18,18,2008-05-01,Rajasthan Royals v Kolkata Knight Riders,Jaipur,Rajasthan Royals won by 45 Runs,MatchScorecard.asp?MatchCode=0018,2008.0,Rajasthan Royals,45 Runs,Thursday,May,2008,Rajasthan Royals,Kolkata Knight Riders
19,19,2008-05-01,Deccan Chargers v Punjab Kings,Hyderabad,Punjab Kings won by 7 Wickets,MatchScorecard.asp?MatchCode=0019,2008.0,Punjab Kings,7 Wickets,Thursday,May,2008,Deccan Chargers,Punjab Kings
20,20,2008-05-02,Chennai Super Kings v Delhi Capitals,Chennai,Delhi Capitals won by 8 Wickets,MatchScorecard.asp?MatchCode=0020,2008.0,Delhi Capitals,8 Wickets,Friday,May,2008,Chennai Super Kings,Delhi Capitals
21,21,2008-05-03,Royal Challengers Bengaluru v Deccan Chargers,"Bengaluru, Bangalore",Royal Challengers Bengaluru won by 3 Runs,MatchScorecard.asp?MatchCode=0021,2008.0,Royal Challengers Bengaluru,3 Runs,Saturday,May,2008,Royal Challengers Bengaluru,Deccan Chargers
22,22,2008-05-03,Punjab Kings v Kolkata Knight Riders,"Mohali, Chandigarh",Punjab Kings won by 9 Runs,MatchScorecard.asp?MatchCode=0022,2008.0,Punjab Kings,9 Runs,Saturday,May,2008,Punjab Kings,Kolkata Knight Riders
23,23,2008-05-04,Mumbai Indians v Delhi Capitals,Mumbai,Mumbai Indians won by 29 Runs,MatchScorecard.asp?MatchCode=0023,2008.0,Mumbai Indians,29 Runs,Sunday,May,2008,Mumbai Indians,Delhi Capitals
24,24,2008-05-04,Rajasthan Royals v Chennai Super Kings,Jaipur,Rajasthan Royals won by 8 Wickets,MatchScorecard.asp?MatchCode=0024,2008.0,Rajasthan Royals,8 Wickets,Sunday,May,2008,Rajasthan Royals,Chennai Super Kings
25,25,2008-05-05,Royal Challengers Bengaluru v Punjab Kings,"Bengaluru, Bangalore",Punjab Kings won by 6 Wickets,MatchScorecard.asp?MatchCode=0025,2008.0,Punjab Kings,6 Wickets,Monday,May,2008,Royal Challengers Bengaluru,Punjab Kings
26,26,2008-05-06,Chennai Super Kings v Deccan Chargers,Chennai,Deccan Chargers won by 7 Wickets,MatchScorecard.asp?MatchCode=0026,2008.0,Deccan Chargers,7 Wickets,Tuesday,May,2008,Chennai Super Kings,Deccan Chargers
27,27,2008-05-07,Mumbai Indians v Rajasthan Royals,Mumbai,Mumbai Indians won by 7 Wickets,MatchScorecard.asp?MatchCode=0027,2008.0,Mumbai Indians,7 Wickets,Wednesday,May,2008,Mumbai Indians,Rajasthan Royals
28,28,2008-05-08,Delhi Capitals v Chennai Super Kings,Delhi,Chennai Super Kings won by 4 Wickets,MatchScorecard.asp?MatchCode=0028,2008.0,Chennai Super Kings,4 Wickets,Thursday,May,2008,Delhi Capitals,Chennai Super Kings
29,29,2008-05-08,Kolkata Knight Riders v Royal Challengers Bengaluru,Kolkata,Kolkata Knight Riders won by 5 Runs,MatchScorecard.asp?MatchCode=0029,2008.0,Kolkata Knight Riders,5 Runs,Thursday,May,2008,Kolkata Knight Riders,Royal Challengers Bengaluru
30,30,2008-05-09,Rajasthan Royals v Deccan Chargers,Jaipur,Rajasthan Royals won by 8 Wickets,MatchScorecard.asp?MatchCode=0030,2008.0,Rajasthan Royals,8 Wickets,Friday,May,2008,Rajasthan Royals,Deccan Chargers
31,31,2008-05-10,Chennai Super Kings v Punjab Kings,Chennai,Chennai Super Kings won by 18 Runs,MatchScorecard.asp?MatchCode=0031,2008.0,Chennai Super Kings,18 Runs,Saturday,May,2008,Chennai Super Kings,Punjab Kings
32,32,2008-05-11,Deccan Chargers v Kolkata Knight Riders,Hyderabad,Kolkata Knight Riders won by 23 Runs,MatchScorecard.asp?MatchCode=0032,2008.0,Kolkata Knight Riders,23 Runs,Sunday,May,2008,Deccan Chargers,Kolkata Knight Riders
33,33,2008-05-11,Rajasthan Royals v Delhi Capitals,Jaipur,Rajasthan Royals won by 3 Wickets,MatchScorecard.asp?MatchCode=0033,2008.0,Rajasthan Royals,3 Wickets,Sunday,May,2008,Rajasthan Royals,Delhi Capitals
34,34,2008-05-12,Punjab Kings v Royal Challengers Bengaluru,"Mohali, Chandigarh",Punjab Kings won by 9 Wickets,MatchScorecard.asp?MatchCode=0034,2008.0,Punjab Kings,9 Wickets,Monday,May,2008,Punjab Kings,Royal Challengers Bengaluru
35,35,2008-05-13,Kolkata Knight Riders v Delhi Capitals,Kolkata,Kolkata Knight Riders won by 23 Runs,MatchScorecard.asp?MatchCode=0035,2008.0,Kolkata Knight Riders,23 Runs,Tuesday,May,2008,Kolkata Knight Riders,Delhi Capitals
36,36,2008-05-14,Mumbai Indians v Chennai Super Kings,Mumbai,Mumbai Indians won by 9 Wickets,MatchScorecard.asp?MatchCode=0036,2008.0,Mumbai Indians,9 Wickets,Wednesday,May,2008,Mumbai Indians,Chennai Super Kings
37,37,2008-05-15,Delhi Capitals v Deccan Chargers,Delhi,Delhi Capitals won by 12 Runs,MatchScorecard.asp?MatchCode=0037,2008.0,Delhi Capitals,12 Runs,Thursday,May,2008,Delhi Capitals,Deccan Chargers
38,38,2008-05-16,Mumbai Indians v Kolkata Knight Riders,Mumbai,Mumbai Indians won by 8 Wickets,MatchScorecard.asp?MatchCode=0038,2008.0,Mumbai Indians,8 Wickets,Friday,May,2008,Mumbai Indians,Kolkata Knight Riders
39,39,2008-05-17,Rajasthan Royals v Royal Challengers Bengaluru,Jaipur,Rajasthan Royals won by 65 Runs,MatchScorecard.asp?MatchCode=0039,2008.0,Rajasthan Royals,65 Runs,Saturday,May,2008,Rajasthan Royals,Royal Challengers Bengaluru
40,40,2008-05-17,Delhi Capitals v Punjab Kings,Delhi,Punjab Kings won by 6 Runs [D/L],MatchScorecard.asp?MatchCode=0040,2008.0,Punjab Kings,6 Runs [D/L],Saturday,May,2008,Delhi Capitals,Punjab Kings
41,41,2008-05-18,Kolkata Knight Riders v Chennai Super Kings,Kolkata,Chennai Super Kings won by 3 Runs [D/L],MatchScorecard.asp?MatchCode=0041,2008.0,Chennai Super Kings,3 Runs [D/L],Sunday,May,2008,Kolkata Knight Riders,Chennai Super Kings
42,42,2008-05-18,Deccan Chargers v Mumbai Indians,Hyderabad,Mumbai Indians won by 25 Runs,MatchScorecard.asp?MatchCode=0042,2008.0,Mumbai Indians,25 Runs,Sunday,May,2008,Deccan Chargers,Mumbai Indians
43,43,2008-05-19,Royal Challengers Bengaluru v Delhi Capitals,"Bengaluru, Bangalore",Delhi Capitals won by 5 Wickets,MatchScorecard.asp?MatchCode=0043,2008.0,Delhi Capitals,5 Wickets,Monday,May,2008,Royal Challengers Bengaluru,Delhi Capitals
44,44,2008-05-20,Kolkata Knight Riders v Rajasthan Royals,Kolkata,Rajasthan Royals won by 6 Wickets,MatchScorecard.asp?MatchCode=0044,2008.0,Rajasthan Royals,6 Wickets,Tuesday,May,2008,Kolkata Knight Riders,Rajasthan Royals
45,45,2008-05-21,Punjab Kings v Mumbai Indians,Mumbai,Punjab Kings won by 1 Run,MatchScorecard.asp?MatchCode=0045,2008.0,Punjab Kings,1 Run,Wednesday,May,2008,Punjab Kings,Mumbai Indians
46,46,2008-05-21,Chennai Super Kings v Royal Challengers Bengaluru,Chennai,Royal Challengers Bengaluru won by 14 Runs,MatchScorecard.asp?MatchCode=0046,2008.0,Royal Challengers Bengaluru,14 Runs,Wednesday,May,2008,Chennai Super Kings,Royal Challengers Bengaluru
47,47,2008-05-22,Delhi Capitals v Kolkata Knight Riders,Delhi,Match abandoned,MatchScorecard.asp?MatchCode=0047,2008.0,Unknown,Unknown,Thursday,May,2008,Delhi Capitals,Kolkata Knight Riders
48,48,2008-05-23,Punjab Kings v Deccan Chargers,"Mohali, Chandigarh",Punjab Kings won by 6 Wickets,MatchScorecard.asp?MatchCode=0048,2008.0,Punjab Kings,6 Wickets,Friday,May,2008,Punjab Kings,Deccan Chargers
49,49,2008-05-24,Chennai Super Kings v Rajasthan Royals,Chennai,Rajasthan Royals won by 10 Runs,MatchScorecard.asp?MatchCode=0049,2008.0,Rajasthan Royals,10 Runs,Saturday,May,2008,Chennai Super Kings,Rajasthan Royals
50,50,2008-05-24,Delhi Capitals v Mumbai Indians,Delhi,Delhi Capitals won by 5 Wickets,MatchScorecard.asp?MatchCode=0050,2008.0,Delhi Capitals,5 Wickets,Saturday,May,2008,Delhi Capitals,Mumbai Indians
51,51,2008-05-25,Deccan Chargers v Royal Challengers Bengaluru,Hyderabad,Royal Challengers Bengaluru won by 5 Wickets,MatchScorecard.asp?MatchCode=0051,2008.0,Royal Challengers Bengaluru,5 Wickets,Sunday,May,2008,Deccan Chargers,Royal Challengers Bengaluru
52,52,2008-05-25,Kolkata Knight Riders v Punjab Kings,Kolkata,Kolkata Knight Riders won by 3 Wickets,MatchScorecard.asp?MatchCode=0052,2008.0,Kolkata Knight Riders,3 Wickets,Sunday,May,2008,Kolkata Knight Riders,Punjab Kings
53,53,2008-05-26,Rajasthan Royals v Mumbai Indians,Jaipur,Rajasthan Royals won by 5 Wickets,MatchScorecard.asp?MatchCode=0053,2008.0,Rajasthan Royals,5 Wickets,Monday,May,2008,Rajasthan Royals,Mumbai Indians
54,54,2008-05-27,Deccan Chargers v Chennai Super Kings,Hyderabad,Chennai Super Kings won by 7 Wickets,MatchScorecard.asp?MatchCode=0054,2008.0,Chennai Super Kings,7 Wickets,Tuesday,May,2008,Deccan Chargers,Chennai Super Kings
55,55,2008-05-28,Royal Challengers Bengaluru v Mumbai Indians,"Bengaluru, Bangalore",Mumbai Indians won by 9 Wickets,MatchScorecard.asp?MatchCode=0055,2008.0,Mumbai Indians,9 Wickets,Wednesday,May,2008,Royal Challengers Bengaluru,Mumbai Indians
56,56,2008-05-28,Punjab Kings v Rajasthan Royals,"Mohali, Chandigarh",Punjab Kings won by 41 Runs,MatchScorecard.asp?MatchCode=0056,2008.0,Punjab Kings,41 Runs,Wednesday,May,2008,Punjab Kings,Rajasthan Royals
57,1st Semi Final,2008-05-30,Delhi Capitals v Rajasthan Royals,Mumbai,Rajasthan Royals won by 105 Runs,MatchScorecard.asp?MatchCode=0057,2008.0,Rajasthan Royals,105 Runs,Friday,May,2008,Delhi Capitals,Rajasthan Royals
58,2nd Semi Final,2008-05-31,Punjab Kings v Chennai Super Kings,Mumbai,Chennai Super Kings won by 9 Wickets,MatchScorecard.asp?MatchCode=0058,2008.0,Chennai Super Kings,9 Wickets,Saturday,May,2008,Punjab Kings,Chennai Super Kings
59,Final,2008-06-01,Chennai Super Kings v Rajasthan Royals,Mumbai,Rajasthan Royals won by 3 Wickets,MatchScorecard.asp?MatchCode=0059,2008.0,Rajasthan Royals,3 Wickets,Sunday,June,2008,Chennai Super Kings,Rajasthan Royals
60,1,2009-04-18,Chennai Super Kings v Mumbai Indians,Cape Town,Mumbai Indians won by 19 Runs,MatchScorecard.asp?MatchCode=0060,2009.0,Mumbai Indians,19 Runs,Saturday,April,2009,Chennai Super Kings,Mumbai Indians
61,2,2009-04-18,Royal Challengers Bengaluru v Rajasthan Royals,Cape Town,Royal Challengers Bengaluru won by 75 Runs,MatchScorecard.asp?MatchCode=0061,2009.0,Royal Challengers Bengaluru,75 Runs,Saturday,April,2009,Royal Challengers Bengaluru,Rajasthan Royals
62,3,2009-04-19,Delhi Capitals v Punjab Kings,Cape Town,Delhi Capitals won by 10 Wickets [D/L],MatchScorecard.asp?MatchCode=0062,2009.0,Delhi Capitals,10 Wickets [D/L],Sunday,April,2009,Delhi Capitals,Punjab Kings
63,4,2009-04-19,Deccan Chargers v Kolkata Knight Riders,Cape Town,Deccan Chargers won by 8 Wickets,MatchScorecard.asp?MatchCode=0063,2009.0,Deccan Chargers,8 Wickets,Sunday,April,2009,Deccan Chargers,Kolkata Knight Riders
64,5,2009-04-20,Royal Challengers Bengaluru v Chennai Super Kings,Port Elizabeth,Chennai Super Kings won by 92 Runs,MatchScorecard.asp?MatchCode=0064,2009.0,Chennai Super Kings,92 Runs,Monday,April,2009,Royal Challengers Bengaluru,Chennai Super Kings
65,6,2009-04-21,Punjab Kings v Kolkata Knight Riders,Durban,Kolkata Knight Riders won by 11 Runs [D/L],MatchScorecard.asp?MatchCode=0065,2009.0,Kolkata Knight Riders,11 Runs [D/L],Tuesday,April,2009,Punjab Kings,Kolkata Knight Riders
66,7,2009-04-21,Mumbai Indians v Rajasthan Royals,Durban,Match abandoned,MatchScorecard.asp?MatchCode=0066,2009.0,Unknown,Unknown,Tuesday,April,2009,Mumbai Indians,Rajasthan Royals
67,8,2009-04-22,Royal Challengers Bengaluru v Deccan Chargers,Cape Town,Deccan Chargers won by 24 Runs,MatchScorecard.asp?MatchCode=0067,2009.0,Deccan Chargers,24 Runs,Wednesday,April,2009,Royal Challengers Bengaluru,Deccan Chargers
68,10,2009-04-23,Kolkata Knight Riders v Rajasthan Royals,Cape Town,Match tied (Rajasthan Royals won eliminator),MatchScorecard.asp?MatchCode=0069,2009.0,Unknown,Unknown,Thursday,April,2009,Kolkata Knight Riders,Rajasthan Royals
69,9,2009-04-23,Chennai Super Kings v Delhi Capitals,Durban,Delhi Capitals won by 9 Runs,MatchScorecard.asp?MatchCode=0068,2009.0,Delhi Capitals,9 Runs,Thursday,April,2009,Chennai Super Kings,Delhi Capitals
70,11,2009-04-24,Royal Challengers Bengaluru v Punjab Kings,Durban,Punjab Kings won by 7 Wickets,MatchScorecard.asp?MatchCode=0070,2009.0,Punjab Kings,7 Wickets,Friday,April,2009,Royal Challengers Bengaluru,Punjab Kings
71,12,2009-04-25,Deccan Chargers v Mumbai Indians,Durban,Deccan Chargers won by 12 Runs,MatchScorecard.asp?MatchCode=0071,2009.0,Deccan Chargers,12 Runs,Saturday,April,2009,Deccan Chargers,Mumbai Indians
72,13,2009-04-25,Chennai Super Kings v Kolkata Knight Riders,Cape Town,Match abandoned,MatchScorecard.asp?MatchCode=0072,2009.0,Unknown,Unknown,Saturday,April,2009,Chennai Super Kings,Kolkata Knight Riders
73,14,2009-04-26,Royal Challengers Bengaluru v Delhi Capitals,Port Elizabeth,Delhi Capitals won by 6 Wickets,MatchScorecard.asp?MatchCode=0073,2009.0,Delhi Capitals,6 Wickets,Sunday,April,2009,Royal Challengers Bengaluru,Delhi Capitals
74,15,2009-04-26,Punjab Kings v Rajasthan Royals,Cape Town,Punjab Kings won by 27 Runs,MatchScorecard.asp?MatchCode=0074,2009.0,Punjab Kings,27 Runs,Sunday,April,2009,Punjab Kings,Rajasthan Royals
75,16,2009-04-27,Chennai Super Kings v Deccan Chargers,Durban,Deccan Chargers won by 6 Wickets,MatchScorecard.asp?MatchCode=0075,2009.0,Deccan Chargers,6 Wickets,Monday,April,2009,Chennai Super Kings,Deccan Chargers
76,17,2009-04-27,Kolkata Knight Riders v Mumbai Indians,Port Elizabeth,Mumbai Indians won by 92 Runs,MatchScorecard.asp?MatchCode=0076,2009.0,Mumbai Indians,92 Runs,Monday,April,2009,Kolkata Knight Riders,Mumbai Indians
77,18,2009-04-28,Delhi Capitals v Rajasthan Royals,Centurion,Rajasthan Royals won by 5 Wickets,MatchScorecard.asp?MatchCode=0077,2009.0,Rajasthan Royals,5 Wickets,Tuesday,April,2009,Delhi Capitals,Rajasthan Royals
78,19,2009-04-29,Royal Challengers Bengaluru v Kolkata Knight Riders,Durban,Royal Challengers Bengaluru won by 5 Wickets,MatchScorecard.asp?MatchCode=0078,2009.0,Royal Challengers Bengaluru,5 Wickets,Wednesday,April,2009,Royal Challengers Bengaluru,Kolkata Knight Riders
79,20,2009-04-29,Punjab Kings v Mumbai Indians,Durban,Punjab Kings won by 3 Runs,MatchScorecard.asp?MatchCode=0079,2009.0,Punjab Kings,3 Runs,Wednesday,April,2009,Punjab Kings,Mumbai Indians
80,21,2009-04-30,Deccan Chargers v Delhi Capitals,Centurion,Delhi Capitals won by 6 Wickets,MatchScorecard.asp?MatchCode=0080,2009.0,Delhi Capitals,6 Wickets,Thursday,April,2009,Deccan Chargers,Delhi Capitals
81,22,2009-04-30,Chennai Super Kings v Rajasthan Royals,East London,Chennai Super Kings won by 38 Runs,MatchScorecard.asp?MatchCode=0081,2009.0,Chennai Super Kings,38 Runs,Thursday,April,2009,Chennai Super Kings,Rajasthan Royals
82,23,2009-05-01,Kolkata Knight Riders v Mumbai Indians,East London,Mumbai Indians won by 9 Runs,MatchScorecard.asp?MatchCode=0082,2009.0,Mumbai Indians,9 Runs,Friday,May,2009,Kolkata Knight Riders,Mumbai Indians
83,24,2009-05-01,Royal Challengers Bengaluru v Punjab Kings,Durban,Royal Challengers Bengaluru won by 8 Runs,MatchScorecard.asp?MatchCode=0083,2009.0,Royal Challengers Bengaluru,8 Runs,Friday,May,2009,Royal Challengers Bengaluru,Punjab Kings
84,25,2009-05-02,Deccan Chargers v Rajasthan Royals,Port Elizabeth,Rajasthan Royals won by 3 Wickets,MatchScorecard.asp?MatchCode=0084,2009.0,Rajasthan Royals,3 Wickets,Saturday,May,2009,Deccan Chargers,Rajasthan Royals
85,26,2009-05-02,Chennai Super Kings v Delhi Capitals,Johannesburg,Chennai Super Kings won by 18 Runs,MatchScorecard.asp?MatchCode=0085,2009.0,Chennai Super Kings,18 Runs,Saturday,May,2009,Chennai Super Kings,Delhi Capitals
86,27,2009-05-03,Punjab Kings v Kolkata Knight Riders,Port Elizabeth,Punjab Kings won by 6 Wickets,MatchScorecard.asp?MatchCode=0086,2009.0,Punjab Kings,6 Wickets,Sunday,May,2009,Punjab Kings,Kolkata Knight Riders
87,28,2009-05-03,Royal Challengers Bengaluru v Mumbai Indians,Johannesburg,Royal Challengers Bengaluru won by 9 Wickets,MatchScorecard.asp?MatchCode=0087,2009.0,Royal Challengers Bengaluru,9 Wickets,Sunday,May,2009,Royal Challengers Bengaluru,Mumbai Indians
88,29,2009-05-04,Chennai Super Kings v Deccan Chargers,East London,Chennai Super Kings won by 78 Runs,MatchScorecard.asp?MatchCode=0088,2009.0,Chennai Super Kings,78 Runs,Monday,May,2009,Chennai Super Kings,Deccan Chargers
89,30,2009-05-05,Punjab Kings v Rajasthan Royals,Durban,Rajasthan Royals won by 78 Runs,MatchScorecard.asp?MatchCode=0089,2009.0,Rajasthan Royals,78 Runs,Tuesday,May,2009,Punjab Kings,Rajasthan Royals
90,31,2009-05-05,Delhi Capitals v Kolkata Knight Riders,Durban,Delhi Capitals won by 9 Wickets,MatchScorecard.asp?MatchCode=0090,2009.0,Delhi Capitals,9 Wickets,Tuesday,May,2009,Delhi Capitals,Kolkata Knight Riders
91,32,2009-05-06,Deccan Chargers v Mumbai Indians,Centurion,Deccan Chargers won by 19 Runs,MatchScorecard.asp?MatchCode=0091,2009.0,Deccan Chargers,19 Runs,Wednesday,May,2009,Deccan Chargers,Mumbai Indians
92,33,2009-05-07,Royal Challengers Bengaluru v Rajasthan Royals,Centurion,Rajasthan Royals won by 7 Wickets,MatchScorecard.asp?MatchCode=0092,2009.0,Rajasthan Royals,7 Wickets,Thursday,May,2009,Royal Challengers Bengaluru,Rajasthan Royals
93,34,2009-05-07,Chennai Super Kings v Punjab Kings,Centurion,Chennai Super Kings won by 12 Runs [D/L],MatchScorecard.asp?MatchCode=0093,2009.0,Chennai Super Kings,12 Runs [D/L],Thursday,May,2009,Chennai Super Kings,Punjab Kings
94,35,2009-05-08,Delhi Capitals v Mumbai Indians,East London,Delhi Capitals won by 7 Wickets,MatchScorecard.asp?MatchCode=0094,2009.0,Delhi Capitals,7 Wickets,Friday,May,2009,Delhi Capitals,Mumbai Indians
95,36,2009-05-09,Deccan Chargers v Punjab Kings,Kimberley,Punjab Kings won by 3 Wickets,MatchScorecard.asp?MatchCode=0095,2009.0,Punjab Kings,3 Wickets,Saturday,May,2009,Deccan Chargers,Punjab Kings
96,37,2009-05-09,Chennai Super Kings v Rajasthan Royals,Kimberley,Chennai Super Kings won by 7 Wickets,MatchScorecard.asp?MatchCode=0096,2009.0,Chennai Super Kings,7 Wickets,Saturday,May,2009,Chennai Super Kings,Rajasthan Royals
97,38,2009-05-10,Royal Challengers Bengaluru v Mumbai Indians,Port Elizabeth,Mumbai Indians won by 16 Runs,MatchScorecard.asp?MatchCode=0097,2009.0,Mumbai Indians,16 Runs,Sunday,May,2009,Royal Challengers Bengaluru,Mumbai Indians
98,39,2009-05-10,Delhi Capitals v Kolkata Knight Riders,Johannesburg,Delhi Capitals won by 7 Wickets,MatchScorecard.asp?MatchCode=0098,2009.0,Delhi Capitals,7 Wickets,Sunday,May,2009,Delhi Capitals,Kolkata Knight Riders
99,40,2009-05-11,Deccan Chargers v Rajasthan Royals,Kimberley,Deccan Chargers won by 53 Runs,MatchScorecard.asp?MatchCode=0099,2009.0,Deccan Chargers,53 Runs,Monday,May,2009,Deccan Chargers,Rajasthan Royals
100,41,2009-05-12,Royal Challengers Bengaluru v Kolkata Knight Riders,Centurion,Royal Challengers Bengaluru won by 6 Wickets,MatchScorecard.asp?MatchCode=0100,2009.0,Royal Challengers Bengaluru,6 Wickets,Tuesday,May,2009,Royal Challengers Bengaluru,Kolkata Knight Riders
101,42,2009-05-12,Punjab Kings v Mumbai Indians,Centurion,Mumbai Indians won by 8 Wickets,MatchScorecard.asp?MatchCode=0101,2009.0,Mumbai Indians,8 Wickets,Tuesday,May,2009,Punjab Kings,Mumbai Indians
102,43,2009-05-13,Deccan Chargers v Delhi Capitals,Durban,Delhi Capitals won by 12 Runs,MatchScorecard.asp?MatchCode=0102,2009.0,Delhi Capitals,12 Runs,Wednesday,May,2009,Deccan Chargers,Delhi Capitals
103,44,2009-05-14,Royal Challengers Bengaluru v Chennai Super Kings,Durban,Royal Challengers Bengaluru won by 2 Wickets,MatchScorecard.asp?MatchCode=0103,2009.0,Royal Challengers Bengaluru,2 Wickets,Thursday,May,2009,Royal Challengers Bengaluru,Chennai Super Kings
104,45,2009-05-14,Mumbai Indians v Rajasthan Royals,Durban,Rajasthan Royals won by 2 Runs,MatchScorecard.asp?MatchCode=0104,2009.0,Rajasthan Royals,2 Runs,Thursday,May,2009,Mumbai Indians,Rajasthan Royals
105,46,2009-05-15,Delhi Capitals v Punjab Kings,Bloemfontein,Punjab Kings won by 6 Wickets,MatchScorecard.asp?MatchCode=0105,2009.0,Punjab Kings,6 Wickets,Friday,May,2009,Delhi Capitals,Punjab Kings
106,47,2009-05-16,Chennai Super Kings v Mumbai Indians,Port Elizabeth,Chennai Super Kings won by 7 Wickets,MatchScorecard.asp?MatchCode=0106,2009.0,Chennai Super Kings,7 Wickets,Saturday,May,2009,Chennai Super Kings,Mumbai Indians
107,48,2009-05-16,Deccan Chargers v Kolkata Knight Riders,Johannesburg,Deccan Chargers won by 6 Wickets,MatchScorecard.asp?MatchCode=0107,2009.0,Deccan Chargers,6 Wickets,Saturday,May,2009,Deccan Chargers,Kolkata Knight Riders
108,49,2009-05-17,Deccan Chargers v Punjab Kings,Johannesburg,Punjab Kings won by 1 Run,MatchScorecard.asp?MatchCode=0108,2009.0,Punjab Kings,1 Run,Sunday,May,2009,Deccan Chargers,Punjab Kings
109,50,2009-05-17,Delhi Capitals v Rajasthan Royals,Bloemfontein,Delhi Capitals won by 14 Runs,MatchScorecard.asp?MatchCode=0109,2009.0,Delhi Capitals,14 Runs,Sunday,May,2009,Delhi Capitals,Rajasthan Royals
